No,地域,slug,区分,人口,街の性格,分野,分野slug,推奨URLパス,優先度,判定メモ,枝(目安),状態
675,多摩市,tama,市,146720,ニュータウン・住宅・商業,文化・スポーツ・レジャー施設,culture-sports-leisure,/stories/culture-sports-leisure/tama/,B,標準,2-3,
676,稲城市,inagi,市,95520,住宅・自然・梨・ファミリー,高級ホテル・ホテルラウンジ,hotel-lounge,/stories/hotel-lounge/inagi/,C,薄め/様子見,1-2,
677,稲城市,inagi,市,95520,住宅・自然・梨・ファミリー,温泉旅館・高級旅館,onsen-ryokan,/stories/onsen-ryokan/inagi/,C,限定的/要確認,1-2,
678,稲城市,inagi,市,95520,住宅・自然・梨・ファミリー,貸切ヴィラ・一棟貸しの宿,villa-rental,/stories/villa-rental/inagi/,C,限定的/要確認,1-2,
679,稲城市,inagi,市,95520,住宅・自然・梨・ファミリー,レストラン・ダイニング,restaurant-dining,/stories/restaurant-dining/inagi/,C,薄め/様子見,1-2,
680,稲城市,inagi,市,95520,住宅・自然・梨・ファミリー,カフェ・スペシャルティコーヒー,cafe-specialty-coffee,/stories/cafe-specialty-coffee/inagi/,B,標準,2-3,
681,稲城市,inagi,市,95520,住宅・自然・梨・ファミリー,バー・ウイスキー・カクテル,bar-whiskey,/stories/bar-whiskey/inagi/,C,薄め/様子見,1-2,
682,稲城市,inagi,市,95520,住宅・自然・梨・ファミリー,スパ・サウナ・ウェルネス施設,spa-sauna-wellness,/stories/spa-sauna-wellness/inagi/,B,標準,2-3,
683,稲城市,inagi,市,95520,住宅・自然・梨・ファミリー,高級サロン・プライベートサロン,premium-salon,/stories/premium-salon/inagi/,B,標準,2-3,
684,稲城市,inagi,市,95520,住宅・自然・梨・ファミリー,コワーキング・シェアオフィス,coworking,/stories/coworking/inagi/,C,薄め/様子見,1-2,
685,稲城市,inagi,市,95520,住宅・自然・梨・ファミリー,会員制ラウンジ・クラブ,members-lounge,/stories/members-lounge/inagi/,C,薄め/様子見,1-2,
686,稲城市,inagi,市,95520,住宅・自然・梨・ファミリー,山・自然体験・グランピング,nature-glamping,/stories/nature-glamping/inagi/,C,限定的,1-2,
687,稲城市,inagi,市,95520,住宅・自然・梨・ファミリー,リトリート・禅体験,retreat-zen,/stories/retreat-zen/inagi/,B,標準,2-3,
688,稲城市,inagi,市,95520,住宅・自然・梨・ファミリー,神社・寺院・パワースポット,shrine-temple,/stories/shrine-temple/inagi/,C,薄め/様子見,1-2,
689,稲城市,inagi,市,95520,住宅・自然・梨・ファミリー,インバウンド観光・体験施設,inbound-experience,/stories/inbound-experience/inagi/,C,薄め/様子見,1-2,
690,稲城市,inagi,市,95520,住宅・自然・梨・ファミリー,文化・スポーツ・レジャー施設,culture-sports-leisure,/stories/culture-sports-leisure/inagi/,B,標準,2-3,
691,羽村市,hamura,市,53520,住宅・川・自然,高級ホテル・ホテルラウンジ,hotel-lounge,/stories/hotel-lounge/hamura/,C,薄め/様子見,1-2,
692,羽村市,hamura,市,53520,住宅・川・自然,温泉旅館・高級旅館,onsen-ryokan,/stories/onsen-ryokan/hamura/,C,限定的/要確認,1-2,
693,羽村市,hamura,市,53520,住宅・川・自然,貸切ヴィラ・一棟貸しの宿,villa-rental,/stories/villa-rental/hamura/,C,限定的/要確認,1-2,
694,羽村市,hamura,市,53520,住宅・川・自然,レストラン・ダイニング,restaurant-dining,/stories/restaurant-dining/hamura/,C,薄め/様子見,1-2,
695,羽村市,hamura,市,53520,住宅・川・自然,カフェ・スペシャルティコーヒー,cafe-specialty-coffee,/stories/cafe-specialty-coffee/hamura/,B,標準,2-3,
696,羽村市,hamura,市,53520,住宅・川・自然,バー・ウイスキー・カクテル,bar-whiskey,/stories/bar-whiskey/hamura/,C,薄め/様子見,1-2,
697,羽村市,hamura,市,53520,住宅・川・自然,スパ・サウナ・ウェルネス施設,spa-sauna-wellness,/stories/spa-sauna-wellness/hamura/,B,標準,2-3,
698,羽村市,hamura,市,53520,住宅・川・自然,高級サロン・プライベートサロン,premium-salon,/stories/premium-salon/hamura/,B,標準,2-3,
699,羽村市,hamura,市,53520,住宅・川・自然,コワーキング・シェアオフィス,coworking,/stories/coworking/hamura/,C,薄め/様子見,1-2,
700,羽村市,hamura,市,53520,住宅・川・自然,会員制ラウンジ・クラブ,members-lounge,/stories/members-lounge/hamura/,C,薄め/様子見,1-2,
701,羽村市,hamura,市,53520,住宅・川・自然,山・自然体験・グランピング,nature-glamping,/stories/nature-glamping/hamura/,B,郊外で成立余地,2-3,
702,羽村市,hamura,市,53520,住宅・川・自然,リトリート・禅体験,retreat-zen,/stories/retreat-zen/hamura/,B,標準,2-3,
703,羽村市,hamura,市,53520,住宅・川・自然,神社・寺院・パワースポット,shrine-temple,/stories/shrine-temple/hamura/,C,薄め/様子見,1-2,
704,羽村市,hamura,市,53520,住宅・川・自然,インバウンド観光・体験施設,inbound-experience,/stories/inbound-experience/hamura/,C,薄め/様子見,1-2,
705,羽村市,hamura,市,53520,住宅・川・自然,文化・スポーツ・レジャー施設,culture-sports-leisure,/stories/culture-sports-leisure/hamura/,C,薄め/様子見,1-2,
